date,time,cpu-thermal
2026-09-02,04:27:01,56.281
2026-09-02,04:28:02,56.468
2026-09-02,04:29:01,56.468
2026-09-02,04:30:01,56.656
2026-09-02,04:31:01,56.375
2026-09-02,04:32:01,56.250
2026-09-02,04:33:01,56.250
2026-09-02,04:34:01,56.437
2026-09-02,04:35:01,56.343
2026-09-02,04:36:01,56.593
2026-09-02,04:37:01,56.281
2026-09-02,04:38:01,56.250
2026-09-02,04:39:01,56.406
2026-09-02,04:40:01,56.531
2026-09-02,04:41:01,56.156
2026-09-02,04:42:01,56.343
2026-09-02,04:43:01,56.250
2026-09-02,04:44:01,56.406
2026-09-02,04:45:01,56.406
2026-09-02,04:46:01,56.281
2026-09-02,04:47:01,56.156
2026-09-02,04:48:01,55.781
2026-09-02,04:49:01,55.875
2026-09-02,04:50:01,55.906
2026-09-02,04:51:01,56.000
2026-09-02,04:52:01,55.843
2026-09-02,04:53:02,55.812
2026-09-02,04:54:01,55.656
2026-09-02,04:55:01,55.625
2026-09-02,04:56:01,56.062
2026-09-02,04:57:01,55.593
2026-09-02,04:58:01,55.812
2026-09-02,04:59:01,55.781
2026-09-02,05:00:01,55.781
2026-09-02,05:01:01,55.843
2026-09-02,05:02:01,55.875
2026-09-02,05:03:01,55.937
2026-09-02,05:04:01,55.468
2026-09-02,05:05:01,55.562
2026-09-02,05:06:01,56.125
2026-09-02,05:07:01,56.125
2026-09-02,05:08:01,55.656
2026-09-02,05:09:01,55.875
2026-09-02,05:10:01,55.937
2026-09-02,05:11:01,55.718
2026-09-02,05:12:01,55.593
2026-09-02,05:13:01,55.906
2026-09-02,05:14:01,55.718
2026-09-02,05:15:01,55.750
2026-09-02,05:16:01,55.843
2026-09-02,05:17:01,56.000
2026-09-02,05:18:01,55.718
2026-09-02,05:19:01,55.625
2026-09-02,05:20:02,55.812
2026-09-02,05:21:01,56.031
2026-09-02,05:22:01,56.062
2026-09-02,05:23:01,55.906
2026-09-02,05:24:01,55.843
2026-09-02,05:25:01,55.843
2026-09-02,05:26:01,56.031
2026-09-02,05:27:01,55.906
2026-09-02,05:28:01,56.031
2026-09-02,05:29:01,56.031
2026-09-02,05:30:01,55.906
2026-09-02,05:31:01,56.312
2026-09-02,05:32:01,56.062
2026-09-02,05:33:02,55.843
2026-09-02,05:34:01,55.781
2026-09-02,05:35:01,56.156
2026-09-02,05:36:01,56.062
2026-09-02,05:37:01,55.812
2026-09-02,05:38:01,56.156
2026-09-02,05:39:01,55.968
2026-09-02,05:40:01,55.906
2026-09-02,05:41:01,55.781
2026-09-02,05:42:01,56.375
2026-09-02,05:43:01,56.000
